"","day","year","mo","da","collision_date","NUM_COLLISIONS","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","sndp","fog","rain_drizzle","snow_ice_pellets","hail","thunder","tornado_funnel_cloud"
"222",2,2017,1,3,"2017-01-03",659,44.3,40.7,1020.7,5.4,15.2,21,31.1,48.9,42.1,0.11,999.9,0,1,0,0,0,0
"223",5,2013,1,25,"2013-01-25",674,19,3.3,1023.1,10,13.6,21,32.1,26.1,14,0,999.9,0,0,0,0,0,0
"224",1,2019,1,14,"2019-01-14",703,32.8,22.5,1021.6,10,15.3,21,26,35.1,19.9,0,999.9,0,0,0,0,0,0
"225",1,2019,1,7,"2019-01-07",584,27.4,11.7,1024.8,10,17.4,22,31.1,45,21.9,0,999.9,0,0,0,0,0,0
"226",3,2019,1,9,"2019-01-09",514,44.4,39.6,997.6,5.6,13.4,22,34,46.9,28.9,0.12,999.9,1,1,0,0,0,0
"227",5,2013,1,4,"2013-01-04",505,32.2,21.1,1015.2,10,11.3,22,29.9,41,24.1,0,999.9,0,0,0,0,0,0
"228",7,2015,1,25,"2015-01-25",406,36.5,26.7,1000.4,9.4,16,22,32.1,45,33.1,0.9,999.9,0,0,1,0,0,0
"229",2,2014,1,21,"2014-01-21",1161,29.2,17.5,1012.1,8.5,12.6,22,28.9,46.9,23,0,999.9,1,0,1,0,0,0
"230",5,2016,1,22,"2016-01-22",702,28,11.8,1020.4,10,13.1,22,29.9,35.1,21.9,0,999.9,0,0,0,0,0,0
"231",7,2013,1,27,"2013-01-27",429,21.7,4.7,1025.6,10,16.3,22.9,35,28.9,17.1,0,999.9,0,0,0,0,0,0
"232",6,2021,1,2,"2021-01-02",220,47.4,42.5,1012.7,7.4,15.4,22.9,34,53.1,33.1,0.56,999.9,1,1,0,0,0,0
"233",7,2016,1,3,"2016-01-03",432,44.4,29.4,1010.4,10,15.5,22.9,33,52,34,0,999.9,0,0,0,0,0,0
"234",4,2013,1,24,"2013-01-24",554,14.3,-1.9,1018.7,10,15.5,22.9,29.9,19.9,10,0,999.9,0,0,0,0,0,0
"235",7,2014,1,26,"2014-01-26",465,26.8,15.4,1004.7,9.4,17.8,22.9,29.9,41,21,0.03,999.9,0,1,1,0,0,0
"236",3,2022,1,5,"2022-01-05",306,45.9,38.5,1020,9.7,17,22.9,32.1,53.1,25,0,999.9,0,0,0,0,0,0
"237",6,2014,1,11,"2014-01-11",465,44.8,43,1019,4.4,13.4,22.9,32.1,51.8,37.9,0,999.9,1,1,0,0,0,0
"238",7,2015,1,4,"2015-01-04",381,48.6,46.9,1015.4,1.9,15.5,22.9,28.9,54,30,0.21,999.9,1,1,0,0,0,0
"239",4,2017,1,5,"2017-01-05",552,36.4,19.7,1007.8,10,15.4,22.9,33,48,32,0,999.9,0,0,0,0,0,0
"240",2,2015,1,13,"2015-01-13",613,32.6,25.6,1028.5,8.4,16.3,22.9,28.9,52,26.1,0.82,999.9,0,1,1,0,0,0
"241",6,2021,1,16,"2021-01-16",265,45.4,42.1,1007.5,7.3,14.6,24.1,32.1,53.1,34,0.08,999.9,1,0,0,0,0,10000
"242",4,2015,1,1,"2015-01-01",395,31.8,15.1,1018.6,9.9,13.6,24.1,33,39.9,21.9,0,999.9,0,0,1,0,0,0
"243",2,2022,1,11,"2022-01-11",255,22.2,5,1024.4,10,16.4,24.1,35.9,28.9,16,0.02,999.9,0,0,0,0,0,0
"244",5,2013,1,18,"2013-01-18",561,28.1,16.6,1023.2,7.5,15,24.1,32.1,39.9,15.1,0.01,999.9,1,1,1,0,0,0
"245",1,2014,1,20,"2014-01-20",360,41,27.9,1003.2,10,16.8,24.1,35,46.9,34,0,999.9,0,0,0,0,0,0
"246",3,2017,1,25,"2017-01-25",576,41.1,35.1,995.2,8.5,17.4,24.1,33,55,37.9,0.4,999.9,0,1,0,0,0,0
